id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cabang_pelayanan,jenis_kendaraan,fungsi_kendaraan,jumlah_kendaraan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),"SEDAN, JEEP, MINIBUS",PRIBADI,6105,UNIT,2013
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),"SEDAN, JEEP, MINIBUS",DINAS,58,UNIT,2013
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),"SEDAN, JEEP, MINIBUS",UMUM,1696,UNIT,2013
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),"BUS, MICROBUS",PRIBADI,33,UNIT,2013
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),"BUS, MICROBUS",DINAS,3,UNIT,2013
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),"BUS, MICROBUS",UMUM,36,UNIT,2013
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),"TRUCK, PICK UP",PRIBADI,3347,UNIT,2013
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),"TRUCK, PICK UP",DINAS,77,UNIT,2013
9,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),"TRUCK, PICK UP",UMUM,294,UNIT,2013
10,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),ALAT BERAT,PRIBADI,0,UNIT,2013
11,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),ALAT BERAT,DINAS,0,UNIT,2013
12,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),ALAT BERAT,UMUM,0,UNIT,2013
13,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),"SEPEDA MOTOR, SCOOTER",PRIBADI,160869,UNIT,2013
14,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),"SEPEDA MOTOR, SCOOTER",DINAS,434,UNIT,2013
15,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),"SEPEDA MOTOR, SCOOTER",UMUM,0,UNIT,2013
16,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,"SEDAN, JEEP, MINIBUS",PRIBADI,1015,UNIT,2013
17,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,"SEDAN, JEEP, MINIBUS",DINAS,1,UNIT,2013
18,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,"SEDAN, JEEP, MINIBUS",UMUM,557,UNIT,2013
19,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,"SEDAN, JEEP, MINIBUS",PRIBADI,342,UNIT,2013
20,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,"SEDAN, JEEP, MINIBUS",DINAS,74,UNIT,2013
21,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,"SEDAN, JEEP, MINIBUS",UMUM,125,UNIT,2013
22,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,"BUS, MICROBUS",PRIBADI,2,UNIT,2013
23,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,"BUS, MICROBUS",DINAS,0,UNIT,2013
24,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,"BUS, MICROBUS",UMUM,12,UNIT,2013
25,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,"BUS, MICROBUS",PRIBADI,1,UNIT,2013
26,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,"BUS, MICROBUS",DINAS,5,UNIT,2013
27,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,"BUS, MICROBUS",UMUM,17,UNIT,2013
28,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,"TRUCK, PICK UP",PRIBADI,1393,UNIT,2013
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,"TRUCK, PICK UP",DINAS,5,UNIT,2013
30,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,"TRUCK, PICK UP",UMUM,30,UNIT,2013
31,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,"TRUCK, PICK UP",PRIBADI,924,UNIT,2013
32,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,"TRUCK, PICK UP",DINAS,33,UNIT,2013
33,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,"TRUCK, PICK UP",UMUM,5,UNIT,2013
34,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,ALAT BERAT,PRIBADI,0,UNIT,2013
35,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,ALAT BERAT,DINAS,0,UNIT,2013
36,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,ALAT BERAT,UMUM,0,UNIT,2013
37,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,ALAT BERAT,PRIBADI,0,UNIT,2013
