id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cabang_pelayanan,jenis_kendaraan,fungsi_kendaraan,jumlah_kendaraan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),"SEDAN, JEEP, MINIBUS",PRIBADI,4105,UNIT,2013
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),"SEDAN, JEEP, MINIBUS",DINAS,54,UNIT,2013
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),"SEDAN, JEEP, MINIBUS",UMUM,1783,UNIT,2013
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),"BUS, MICROBUS",PRIBADI,47,UNIT,2013
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),"BUS, MICROBUS",DINAS,10,UNIT,2013
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),"BUS, MICROBUS",UMUM,109,UNIT,2013
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),"TRUCK, PICK UP",PRIBADI,3365,UNIT,2013
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),"TRUCK, PICK UP",DINAS,31,UNIT,2013
9,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),"TRUCK, PICK UP",UMUM,150,UNIT,2013
10,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),ALAT BERAT,PRIBADI,0,UNIT,2013
11,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),ALAT BERAT,DINAS,0,UNIT,2013
12,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),ALAT BERAT,UMUM,0,UNIT,2013
13,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),"SEPEDA MOTOR, SCOOTER",PRIBADI,241190,UNIT,2013
14,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),"SEPEDA MOTOR, SCOOTER",DINAS,933,UNIT,2013
15,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),"SEPEDA MOTOR, SCOOTER",UMUM,0,UNIT,2013
16,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,"SEDAN, JEEP, MINIBUS",PRIBADI,707,UNIT,2013
17,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,"SEDAN, JEEP, MINIBUS",DINAS,0,UNIT,2013
18,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,"SEDAN, JEEP, MINIBUS",UMUM,604,UNIT,2013
19,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,"SEDAN, JEEP, MINIBUS",PRIBADI,202,UNIT,2013
20,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,"SEDAN, JEEP, MINIBUS",DINAS,43,UNIT,2013
21,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,"SEDAN, JEEP, MINIBUS",UMUM,141,UNIT,2013
22,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,"BUS, MICROBUS",PRIBADI,8,UNIT,2013
23,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,"BUS, MICROBUS",DINAS,0,UNIT,2013
24,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,"BUS, MICROBUS",UMUM,25,UNIT,2013
25,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,"BUS, MICROBUS",PRIBADI,8,UNIT,2013
26,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,"BUS, MICROBUS",DINAS,2,UNIT,2013
27,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,"BUS, MICROBUS",UMUM,34,UNIT,2013
28,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,"TRUCK, PICK UP",PRIBADI,1418,UNIT,2013
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,"TRUCK, PICK UP",DINAS,0,UNIT,2013
30,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,"TRUCK, PICK UP",UMUM,39,UNIT,2013
31,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,"TRUCK, PICK UP",PRIBADI,760,UNIT,2013
32,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,"TRUCK, PICK UP",DINAS,16,UNIT,2013
33,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,"TRUCK, PICK UP",UMUM,16,UNIT,2013
34,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,ALAT BERAT,PRIBADI,0,UNIT,2013
35,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,ALAT BERAT,DINAS,0,UNIT,2013
36,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,ALAT BERAT,UMUM,0,UNIT,2013
37,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,ALAT BERAT,PRIBADI,0,UNIT,2013
38,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,ALAT BERAT,DINAS,0,UNIT,2013
39,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,ALAT BERAT,UMUM,0,UNIT,2013
40,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,"SEPEDA MOTOR, SCOOTER",PRIBADI,55176,UNIT,2013
41,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,"SEPEDA MOTOR, SCOOTER",DINAS,0,UNIT,2013
42,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,"SEPEDA MOTOR, SCOOTER",UMUM,0,UNIT,2013
43,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,"SEPEDA MOTOR, SCOOTER",PRIBADI,24592,UNIT,2013
44,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,"SEPEDA MOTOR, SCOOTER",DINAS,976,UNIT,2013
45,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,"SEPEDA MOTOR, SCOOTER",UMUM,0,UNIT,2013
46,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,ALAT BERAT,PRIBADI,0,UNIT,2013
47,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,ALAT BERAT,DINAS,0,UNIT,2013
48,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,ALAT BERAT,UMUM,0,UNIT,2013
49,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,"SEPEDA MOTOR, SCOOTER",PRIBADI,53943,UNIT,2013
50,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,"SEPEDA MOTOR, SCOOTER",DINAS,1231,UNIT,2013
51,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,"SEPEDA MOTOR, SCOOTER",UMUM,0,UNIT,2013
52,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,"SEDAN, JEEP, MINIBUS",PRIBADI,1016,UNIT,2013
53,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,"SEDAN, JEEP, MINIBUS",DINAS,49,UNIT,2013
54,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,"SEDAN, JEEP, MINIBUS",UMUM,418,UNIT,2013
55,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,"BUS, MICROBUS",PRIBADI,6,UNIT,2013
56,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,"BUS, MICROBUS",DINAS,6,UNIT,2013
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,"BUS, MICROBUS",UMUM,51,UNIT,2013
