id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cabang_pelayanan,nama_bank,jumlah_pembayaran,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),BJB,371100,RUPIAH,2014
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,BJB,728000,RUPIAH,2014
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,BJB,203000,RUPIAH,2014
4,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,BJB,3169300,RUPIAH,2014
5,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,BJB,3608800,RUPIAH,2014
6,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,BJB,4163300,RUPIAH,2014
7,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,BJB,4013000,RUPIAH,2014
8,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,BJB,5373100,RUPIAH,2014
9,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,BJB,4182000,RUPIAH,2014
10,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,BJB,2955800,RUPIAH,2014
11,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I SBR,BJB,2145500,RUPIAH,2014
12,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II CLDG,BJB,2712500,RUPIAH,2014
13,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KABUPATEN MAJALENGKA,BJB,11706900,RUPIAH,2014
14,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KABUPATEN SUMEDANG,BJB,14232000,RUPIAH,2014
15,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU I,BJB,299300,RUPIAH,2014
16,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU II HRGLS,BJB,0,RUPIAH,2014
17,32,JAWA BARAT,3213,KABUPATEN SUBANG,KABUPATEN SUBANG,BJB,1534900,RUPIAH,2014
18,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KABUPATEN PURWAKARTA,BJB,860700,RUPIAH,2014
19,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KABUPATEN KARAWANG,BJB,376300,RUPIAH,2014
20,32,JAWA BARAT,3216,KABUPATEN BEKASI,KABUPATEN BEKASI CKRG,BJB,0,RUPIAH,2014
21,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT PDLG,BJB,11435800,RUPIAH,2014
22,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,BJB,348300,RUPIAH,2014
23,32,JAWA BARAT,3271,KOTA BOGOR,KOTA BOGOR,BJB,8379100,RUPIAH,2014
24,32,JAWA BARAT,3272,KOTA SUKABUMI,KOTA SUKABUMI,BJB,3894000,RUPIAH,2014
25,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG I PJJRN,BJB,17463800,RUPIAH,2014
26,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG II KWLYN,BJB,21948900,RUPIAH,2014
27,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG III SOETA,BJB,28577800,RUPIAH,2014
28,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,BJB,227500,RUPIAH,2014
29,32,JAWA BARAT,3275,KOTA BEKASI,KOTA BEKASI,BJB,0,RUPIAH,2014
30,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK I,BJB,0,RUPIAH,2014
31,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK II CINERE,BJB,0,RUPIAH,2014
32,32,JAWA BARAT,3277,KOTA CIMAHI,KOTA CIMAHI,BJB,4454100,RUPIAH,2014
33,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KOTA TASIKMALAYA,BJB,6325900,RUPIAH,2014
34,32,JAWA BARAT,3279,KOTA BANJAR,KOTA BANJAR,BJB,0,RUPIAH,2014
35,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),BJB,63580800,RUPIAH,2015
36,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I CBDK,BJB,24692400,RUPIAH,2015
37,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II P.RATU,BJB,5561600,RUPIAH,2015
38,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,BJB,29256200,RUPIAH,2015
39,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I RC.EKEK,BJB,30666800,RUPIAH,2015
40,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II SOREANG,BJB,16343400,RUPIAH,2015
41,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,BJB,18618400,RUPIAH,2015
42,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,BJB,8699400,RUPIAH,2015
43,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,BJB,27304000,RUPIAH,2015
44,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,BJB,47133100,RUPIAH,2015
45,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I SBR,BJB,21235800,RUPIAH,2015
46,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II CLDG,BJB,7573900,RUPIAH,2015
47,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KABUPATEN MAJALENGKA,BJB,54456400,RUPIAH,2015
48,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KABUPATEN SUMEDANG,BJB,16260400,RUPIAH,2015
